head,relation,tail
N4853,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4854,나이,33세
N4854,죄명,보안법위반
N4854,주문,상고 기각 부대상고에 의한 원판결 파훼 공소 기각
N4854,판결연도,year_1919
N4854,연루사건,e1761
N4854,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4854,나이,33세
N4854,죄명,소요
N4854,주문,상고 기각 부대상고에 의한 원판결 파훼 공소 기각
N4854,판결연도,year_1919
N4854,연루사건,e1761
N4854,본적주소,addr_황해도
소요,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4855,나이,22세(7월 2일생)
N4855,죄명,출판법위반
N4855,주문,경성지방법원의 공판에 부침
N4855,판결연도,year_1919
N4855,연루사건,e1751
N4855,본적주소,addr_황해도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4855,나이,22세(7월 2일생)
N4855,죄명,보안법위반
N4855,주문,경성지방법원의 공판에 부침
N4855,판결연도,year_1919
N4855,연루사건,e1751
N4855,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4856,나이,32세(7월 27일생)
N4856,죄명,출판법위반
N4856,주문,경성지방법원의 공판에 부침
N4856,판결연도,year_1919
N4856,연루사건,e1753
N4856,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4856,나이,32세(7월 27일생)
N4856,죄명,보안법위반
N4856,주문,경성지방법원의 공판에 부침
N4856,판결연도,year_1919
N4856,연루사건,e1753
N4856,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4857,나이,21세(7월 23일생)
N4857,죄명,출판법위반
N4857,주문,경성지방법원의 공판에 부침
N4857,판결연도,year_1919
N4857,연루사건,e1751
N4857,본적주소,addr_강원도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
강원도,URI,https://www.wikidata.org/wiki/Q41416
N4857,나이,21세(7월 23일생)
N4857,죄명,보안법위반
N4857,주문,경성지방법원의 공판에 부침
N4857,판결연도,year_1919
N4857,연루사건,e1751
N4857,본적주소,addr_강원도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
강원도,URI,https://www.wikidata.org/wiki/Q41416
N4858,나이,19세(8월 8일생)
N4858,죄명,출판법위반
N4858,주문,경성지방법원의 공판에 부침
N4858,판결연도,year_1919
N4858,연루사건,e1751
N4858,본적주소,addr_전라북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N4858,나이,19세(8월 8일생)
N4858,죄명,보안법위반
N4858,주문,경성지방법원의 공판에 부침
N4858,판결연도,year_1919
N4858,연루사건,e1751
N4858,본적주소,addr_전라북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
전라북도,URI,https://www.wikidata.org/wiki/Q41157
N4859,나이,18세(3월 17일생)
N4859,죄명,출판법위반
N4859,주문,경성지방법원의 공판에 부침
N4859,판결연도,year_1919
N4859,연루사건,e1751
N4859,본적주소,addr_평양부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4859,나이,18세(3월 17일생)
N4859,죄명,보안법위반
N4859,주문,경성지방법원의 공판에 부침
N4859,판결연도,year_1919
N4859,연루사건,e1751
N4859,본적주소,addr_평양부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4860,나이,19세(9월 12일생)
N4860,죄명,출판법위반
N4860,주문,경성지방법원의 공판에 부침
N4860,판결연도,year_1919
N4860,연루사건,e1751
N4860,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4860,나이,19세(9월 12일생)
N4860,죄명,보안법위반
N4860,주문,경성지방법원의 공판에 부침
N4860,판결연도,year_1919
N4860,연루사건,e1751
N4860,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4861,나이,19세(6월 19일생)
N4861,죄명,출판법위반
N4861,주문,경성지방법원의 공판에 부침
N4861,판결연도,year_1919
N4861,연루사건,e1751
N4861,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4861,나이,19세(6월 19일생)
N4861,죄명,보안법위반
N4861,주문,경성지방법원의 공판에 부침
N4861,판결연도,year_1919
N4861,연루사건,e1751
N4861,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4862,나이,21세(8월 15일생)
N4862,죄명,출판법위반
N4862,주문,경성지방법원의 공판에 부침
N4862,판결연도,year_1919
N4862,연루사건,e1751
N4862,본적주소,addr_경상북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N4862,나이,21세(8월 15일생)
N4862,죄명,보안법위반
N4862,주문,경성지방법원의 공판에 부침
N4862,판결연도,year_1919
N4862,연루사건,e1751
N4862,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N4863,나이,24세(11월 4일생)
N4863,죄명,출판법위반
N4863,주문,경성지방법원의 공판에 부침
N4863,판결연도,year_1919
N4863,연루사건,e1751
N4863,본적주소,addr_평안남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평안남도,URI,https://www.wikidata.org/wiki/Q109380
N4863,나이,24세(11월 4일생)
N4863,죄명,보안법위반
N4863,주문,경성지방법원의 공판에 부침
N4863,판결연도,year_1919
N4863,연루사건,e1751
N4863,본적주소,addr_평안남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평안남도,URI,https://www.wikidata.org/wiki/Q109380
N4864,나이,40세(7월 22일생)
N4864,죄명,출판법위반
N4864,주문,경성지방법원의 공판에 부침
N4864,판결연도,year_1919
N4864,연루사건,e1779
N4864,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4864,나이,40세(7월 22일생)
N4864,죄명,보안법위반
N4864,주문,경성지방법원의 공판에 부침
N4864,판결연도,year_1919
N4864,연루사건,e1779
N4864,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4865,나이,22세(3월 25일생)
N4865,죄명,출판법위반
N4865,주문,경성지방법원의 공판에 부침
N4865,판결연도,year_1919
N4865,연루사건,e1751
N4865,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4865,나이,22세(3월 25일생)
N4865,죄명,보안법위반
N4865,주문,경성지방법원의 공판에 부침
N4865,판결연도,year_1919
N4865,연루사건,e1751
N4865,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4866,나이,30세
N4866,죄명,보안법위반
N4866,주문,상고 기각 부대상고에 의한 원판결 파훼 공소 기각
N4866,판결연도,year_1919
N4866,연루사건,e1761
N4866,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4866,나이,30세
N4866,죄명,소요
N4866,주문,상고 기각 부대상고에 의한 원판결 파훼 공소 기각
N4866,판결연도,year_1919
N4866,연루사건,e1761
N4866,본적주소,addr_황해도
소요,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4867,나이,22세(8월 20일생)
N4867,죄명,출판법위반
N4867,주문,경성지방법원의 공판에 부침
N4867,판결연도,year_1919
N4867,연루사건,e1773
N4867,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4867,나이,22세(8월 20일생)
N4867,죄명,보안법위반
N4867,주문,경성지방법원의 공판에 부침
N4867,판결연도,year_1919
N4867,연루사건,e1773
N4867,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4868,나이,22세(3월 7일생)
N4868,죄명,출판법위반
N4868,주문,경성지방법원의 공판에 부침
N4868,판결연도,year_1919
N4868,연루사건,e1780
N4868,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4868,나이,22세(3월 7일생)
N4868,죄명,보안법위반
N4868,주문,경성지방법원의 공판에 부침
N4868,판결연도,year_1919
N4868,연루사건,e1780
N4868,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4869,나이,20세(5월 23일생)
N4869,죄명,출판법위반
N4869,주문,경성지방법원의 공판에 부침
N4869,판결연도,year_1919
N4869,연루사건,e1781
N4869,본적주소,addr_함경북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경북도,URI,https://www.wikidata.org/wiki/Q109361
N4869,나이,20세(5월 23일생)
N4869,죄명,보안법위반
N4869,주문,경성지방법원의 공판에 부침
N4869,판결연도,year_1919
N4869,연루사건,e1781
N4869,본적주소,addr_함경북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경북도,URI,https://www.wikidata.org/wiki/Q109361
N4870,나이,56세(9월 6일생)
N4870,죄명,출판법위반
N4870,주문,경성지방법원의 공판에 부침
N4870,판결연도,year_1919
N4870,연루사건,e1782
N4870,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4870,나이,56세(9월 6일생)
N4870,죄명,보안법위반
N4870,주문,경성지방법원의 공판에 부침
N4870,판결연도,year_1919
N4870,연루사건,e1782
N4870,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4871,나이,19세(4월 4일생)
N4871,죄명,출판법위반
N4871,주문,경성지방법원의 공판에 부침
N4871,판결연도,year_1919
N4871,연루사건,e1751
N4871,본적주소,addr_황해도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4871,나이,19세(4월 4일생)
N4871,죄명,보안법위반
N4871,주문,경성지방법원의 공판에 부침
N4871,판결연도,year_1919
N4871,연루사건,e1751
N4871,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4872,나이,18세(6월 29일생)
N4872,죄명,출판법위반
N4872,주문,경성지방법원의 공판에 부침
N4872,판결연도,year_1919
N4872,연루사건,e1751
N4872,본적주소,addr_평안북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평안북도,URI,https://www.wikidata.org/wiki/Q109348
N4872,나이,18세(6월 29일생)
N4872,죄명,보안법위반
N4872,주문,경성지방법원의 공판에 부침
N4872,판결연도,year_1919
N4872,연루사건,e1751
N4872,본적주소,addr_평안북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평안북도,URI,https://www.wikidata.org/wiki/Q109348
N4873,나이,21세
N4873,죄명,출판법위반
N4873,주문,면소 방면
N4873,판결연도,year_1919
N4873,연루사건,e1756
N4873,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4873,나이,21세
N4873,죄명,보안법위반
N4873,주문,면소 방면
N4873,판결연도,year_1919
N4873,연루사건,e1756
N4873,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4874,나이,24세(10월 8일생)
N4874,죄명,출판법위반
N4874,주문,경성지방법원의 공판에 부침
N4874,판결연도,year_1919
N4874,연루사건,e1751
N4874,본적주소,addr_황해도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4874,나이,24세(10월 8일생)
N4874,죄명,보안법위반
N4874,주문,경성지방법원의 공판에 부침
N4874,판결연도,year_1919
N4874,연루사건,e1751
N4874,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4875,나이,20세(1월 15일생)
N4875,죄명,출판법위반
N4875,주문,경성지방법원의 공판에 부침
N4875,판결연도,year_1919
N4875,연루사건,e1775
N4875,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4875,나이,20세(1월 15일생)
N4875,죄명,보안법위반
N4875,주문,경성지방법원의 공판에 부침
N4875,판결연도,year_1919
N4875,연루사건,e1775
N4875,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4876,나이,22세(10월 16일생)
N4876,죄명,출판법위반
N4876,주문,경성지방법원의 공판에 부침
N4876,판결연도,year_1919
N4876,연루사건,e1751
N4876,본적주소,addr_강원도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
강원도,URI,https://www.wikidata.org/wiki/Q41416
N4876,나이,22세(10월 16일생)
N4876,죄명,보안법위반
N4876,주문,경성지방법원의 공판에 부침
N4876,판결연도,year_1919
N4876,연루사건,e1751
N4876,본적주소,addr_강원도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
강원도,URI,https://www.wikidata.org/wiki/Q41416
N4877,나이,25세(6월 15일생)
N4877,죄명,출판법위반
N4877,주문,경성지방법원의 공판에 부침
N4877,판결연도,year_1919
N4877,연루사건,e1751
N4877,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4877,나이,25세(6월 15일생)
N4877,죄명,보안법위반
N4877,주문,경성지방법원의 공판에 부침
N4877,판결연도,year_1919
N4877,연루사건,e1751
N4877,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4878,나이,23세(6월 17일생)
N4878,죄명,출판법위반
N4878,주문,경성지방법원의 공판에 부침
N4878,판결연도,year_1919
N4878,연루사건,e1754
N4878,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4878,나이,23세(6월 17일생)
N4878,죄명,보안법위반
N4878,주문,경성지방법원의 공판에 부침
N4878,판결연도,year_1919
N4878,연루사건,e1754
N4878,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4879,나이,19세(7월 12일생)
N4879,죄명,출판법위반
N4879,주문,경성지방법원의 공판에 부침
N4879,판결연도,year_1919
N4879,연루사건,e1783
N4879,본적주소,addr_충청남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N4879,나이,19세(7월 12일생)
N4879,죄명,보안법위반
N4879,주문,경성지방법원의 공판에 부침
N4879,판결연도,year_1919
N4879,연루사건,e1783
N4879,본적주소,addr_충청남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
충청남도,URI,https://www.wikidata.org/wiki/Q41070
N4880,나이,21세
N4880,죄명,보안법위반
N4880,주문,상고 기각
N4880,판결연도,year_1919
N4880,연루사건,e1784
N4880,본적주소,addr_황해도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
황해도,URI,https://www.wikidata.org/wiki/Q698214
N4881,나이,19세(11월 15일생)
N4881,죄명,출판법위반
N4881,주문,경성지방법원의 공판에 부침
N4881,판결연도,year_1919
N4881,연루사건,e1751
N4881,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4881,나이,19세(11월 15일생)
N4881,죄명,보안법위반
N4881,주문,경성지방법원의 공판에 부침
N4881,판결연도,year_1919
N4881,연루사건,e1751
N4881,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4882,나이,23세(1월 3일생)
N4882,죄명,출판법위반
N4882,주문,경성지방법원의 공판에 부침
N4882,판결연도,year_1919
N4882,연루사건,e1751
N4882,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4882,나이,23세(1월 3일생)
N4882,죄명,보안법위반
N4882,주문,경성지방법원의 공판에 부침
N4882,판결연도,year_1919
N4882,연루사건,e1751
N4882,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4883,나이,21세(12월 6일생)
N4883,죄명,출판법위반
N4883,주문,경성지방법원의 공판에 부침
N4883,판결연도,year_1919
N4883,연루사건,e1751
N4883,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4883,나이,21세(12월 6일생)
N4883,죄명,보안법위반
N4883,주문,경성지방법원의 공판에 부침
N4883,판결연도,year_1919
N4883,연루사건,e1751
N4883,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4884,나이,25세(10월 10일생)
N4884,죄명,출판법위반
N4884,주문,경성지방법원의 공판에 부침
N4884,판결연도,year_1919
N4884,연루사건,e1764
N4884,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4884,나이,25세(10월 10일생)
N4884,죄명,보안법위반
N4884,주문,경성지방법원의 공판에 부침
N4884,판결연도,year_1919
N4884,연루사건,e1764
N4884,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4885,나이,35세(8월 26일생)
N4885,죄명,출판법위반
N4885,주문,경성지방법원의 공판에 부침
N4885,판결연도,year_1919
N4885,연루사건,e1750
N4885,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4885,나이,35세(8월 26일생)
N4885,죄명,보안법위반
N4885,주문,경성지방법원의 공판에 부침
N4885,판결연도,year_1919
N4885,연루사건,e1750
N4885,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4886,나이,21세(7월 14일생)
N4886,죄명,출판법위반
N4886,주문,경성지방법원의 공판에 부침
N4886,판결연도,year_1919
N4886,연루사건,e1751
N4886,본적주소,addr_평안남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평안남도,URI,https://www.wikidata.org/wiki/Q109380
N4886,나이,21세(7월 14일생)
N4886,죄명,보안법위반
N4886,주문,경성지방법원의 공판에 부침
N4886,판결연도,year_1919
N4886,연루사건,e1751
N4886,본적주소,addr_평안남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평안남도,URI,https://www.wikidata.org/wiki/Q109380
N4887,나이,24세(5월 23일생)
N4887,죄명,출판법위반
N4887,주문,면소 방면
N4887,판결연도,year_1919
N4887,연루사건,e1756
N4887,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4887,나이,24세(5월 23일생)
N4887,죄명,보안법위반
N4887,주문,면소 방면
N4887,판결연도,year_1919
N4887,연루사건,e1756
N4887,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4888,나이,17세(11월 5일생)
N4888,죄명,출판법위반
N4888,주문,경성지방법원의 공판에 부침
N4888,판결연도,year_1919
N4888,연루사건,e1751
N4888,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4888,나이,17세(11월 5일생)
N4888,죄명,보안법위반
N4888,주문,경성지방법원의 공판에 부침
N4888,판결연도,year_1919
N4888,연루사건,e1751
N4888,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4889,나이,28세(9월 16일생)
N4889,죄명,출판법위반
N4889,주문,경성지방법원의 공판에 부침
N4889,판결연도,year_1919
N4889,연루사건,e1751
N4889,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4889,나이,28세(9월 16일생)
N4889,죄명,보안법위반
N4889,주문,경성지방법원의 공판에 부침
N4889,판결연도,year_1919
N4889,연루사건,e1751
N4889,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4890,나이,21세(11월 20일생)
N4890,죄명,출판법위반
N4890,주문,경성지방법원의 공판에 부침
N4890,판결연도,year_1919
N4890,연루사건,e1751
N4890,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4890,나이,21세(11월 20일생)
N4890,죄명,보안법위반
N4890,주문,경성지방법원의 공판에 부침
N4890,판결연도,year_1919
N4890,연루사건,e1751
N4890,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4891,나이,18세(9월 29일생)
N4891,죄명,출판법위반
N4891,주문,경성지방법원의 공판에 부침
N4891,판결연도,year_1919
N4891,연루사건,e1751
N4891,본적주소,addr_함경남도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4891,나이,18세(9월 29일생)
N4891,죄명,보안법위반
N4891,주문,경성지방법원의 공판에 부침
N4891,판결연도,year_1919
N4891,연루사건,e1751
N4891,본적주소,addr_함경남도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
함경남도,URI,https://www.wikidata.org/wiki/Q109368
N4892,나이,18세(7월 1일생)
N4892,죄명,출판법위반
N4892,주문,경성지방법원의 공판에 부침
N4892,판결연도,year_1919
N4892,연루사건,e1751
N4892,본적주소,addr_평양부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4892,나이,18세(7월 1일생)
N4892,죄명,보안법위반
N4892,주문,경성지방법원의 공판에 부침
N4892,판결연도,year_1919
N4892,연루사건,e1751
N4892,본적주소,addr_평양부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4893,나이,33세(3월 3일생)
N4893,죄명,출판법위반
N4893,주문,경성지방법원의 공판에 부침
N4893,판결연도,year_1919
N4893,연루사건,e1785
N4893,본적주소,addr_평양부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4893,나이,33세(3월 3일생)
N4893,죄명,보안법위반
N4893,주문,경성지방법원의 공판에 부침
N4893,판결연도,year_1919
N4893,연루사건,e1785
N4893,본적주소,addr_평양부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N4894,나이,19세(8월 14일생)
N4894,죄명,출판법위반
N4894,주문,경성지방법원의 공판에 부침
N4894,판결연도,year_1919
N4894,연루사건,e1751
N4894,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4894,나이,19세(8월 14일생)
N4894,죄명,보안법위반
N4894,주문,경성지방법원의 공판에 부침
N4894,판결연도,year_1919
N4894,연루사건,e1751
N4894,본적주소,addr_경기도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4895,나이,65세(11월 1일생)
N4895,죄명,출판법위반
N4895,주문,경성지방법원의 공판에 부침
N4895,판결연도,year_1919
N4895,연루사건,e1751
N4895,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4895,나이,65세(11월 1일생)
N4895,죄명,보안법위반
N4895,주문,경성지방법원의 공판에 부침
N4895,판결연도,year_1919
N4895,연루사건,e1751
N4895,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4896,나이,48세(2월 13일생)
N4896,죄명,출판법위반
N4896,주문,경성지방법원의 공판에 부침
N4896,판결연도,year_1919
N4896,연루사건,e1786
N4896,본적주소,addr_경성부
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4896,나이,48세(2월 13일생)
N4896,죄명,보안법위반
N4896,주문,경성지방법원의 공판에 부침
N4896,판결연도,year_1919
N4896,연루사건,e1786
N4896,본적주소,addr_경성부
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경성부,URI,https://www.wikidata.org/wiki/Q483984
N4897,나이,26세(9월 13일생)
N4897,죄명,출판법위반
N4897,주문,경성지방법원의 공판에 부침
N4897,판결연도,year_1919
N4897,연루사건,e1772
N4897,본적주소,addr_경상북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N4897,나이,26세(9월 13일생)
N4897,죄명,보안법위반
N4897,주문,경성지방법원의 공판에 부침
N4897,판결연도,year_1919
N4897,연루사건,e1772
N4897,본적주소,addr_경상북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
경상북도,URI,https://www.wikidata.org/wiki/Q41154
N4898,나이,21세(8월 6일생)
N4898,죄명,출판법위반
N4898,주문,경성지방법원의 공판에 부침
N4898,판결연도,year_1919
N4898,연루사건,e1751
N4898,본적주소,addr_평안북도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
평안북도,URI,https://www.wikidata.org/wiki/Q109348
N4898,나이,21세(8월 6일생)
N4898,죄명,보안법위반
N4898,주문,경성지방법원의 공판에 부침
N4898,판결연도,year_1919
N4898,연루사건,e1751
N4898,본적주소,addr_평안북도
보안법위반,URI,https://www.wikidata.org/wiki/Q134499074
평안북도,URI,https://www.wikidata.org/wiki/Q109348
N4899,나이,19세(12월 24일생)
N4899,죄명,출판법위반
N4899,주문,경성지방법원의 공판에 부침
N4899,판결연도,year_1919
N4899,연루사건,e1751
N4899,본적주소,addr_경기도
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경기도,URI,https://www.wikidata.org/wiki/Q20937
N4899,나이,19세(12월 24일생)
N4899,죄명,보안법위반
N4899,주문,경성지방법원의 공판에 부침
N4899,판결연도,year_1919
